bbl,facdomain,facgroup,facsubgrp,factype,facname,overagency,address,id
1000157501,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,IRIS HOUSE: A CENTER FOR WOMEN LIVING WITH HIV INC HIV TESTING SERVICES: SOCIAL NETWORK STRATEGY TESTING IN NON-CLINICAL SETTINGS,NYC Department of Health and Mental Hygiene,17 BATTERY PLACE,14934
1000160100,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,SP PLUS CORPORATION,NYC Department of Consumer Affairs,365 SOUTH END AVENUE,27446
1000160100,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,SP PLUS CORPORATION,NYC Department of Consumer Affairs,345 SOUTH END AVENUE,27442
1000160100,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,SP PLUS CORPORATION,NYC Department of Consumer Affairs,385 SOUTH END AVENUE,27451
1000167517,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,MP BATTERY 70 LLC,NYC Department of Consumer Affairs,70 LITTLE WEST STREET,18858
1000167517,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL GARAGE,QUIK PARK LITTLE WEST LLC,NYC Department of Consumer Affairs,70 LITTLE WEST STREET,24878
1000210004,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,THE EPILEPSY INSTITUTE EPILEPSY SERVICES,NYC Department of Health and Mental Hygiene,65 BROADWAY,29470
1000210004,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,EPILEPSY INSTITUTE (THE),NYS Office for People With Developmental Disabilities,65 BROADWAY,10793
1000220013,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,NYC Department of Education,7 BEAVER STREET,25381
1000220013,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",NYC Department of Education,26 BROADWAY,31135
1000220020,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,OFFICE BLDG,NYC Board of Elections,42 BROADWAY,20645
1000220020,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,OFFICE BLDG,NYC Department of Consumer Affairs,42 BROADWAY,20646
1000220024,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,BRAD H,NYS Office of Mental Health,50 BROADWAY,3819
1000220024,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,LIFENET,NYS Office of Mental Health,50 BROADWAY,16749
1000220024,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,FAMILY RESOURCE CENTER - MANHATTAN ZONE 4,NYS Office of Mental Health,50 BROADWAY,11084
1000220024,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,ADOLESCENT SKILLS CENTER MANHATTAN,NYS Office of Mental Health,50 BROADWAY,1364
1000240001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,60 BROAD ST/33 BEAVER ST,NYC Department of Probation,60 BROAD STREET,879
1000240001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,60 BROAD ST/33 BEAVER ST,NYC Department of Homeless Services,60 BROAD STREET,878
1000250027,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,"SFINITY, LLC",NYC Department of Education,40 EXCHANGE PLACE,26654
1000250027,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,"ELLANA, INC.",NYC Department of Education,40 EXCHANGE PLACE,10353
1000290070,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,DANCE,"ART SWEATS, INC.",NYC Department of Cultural Affairs,75 BROAD STREET,2245
1000290070,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,DANCE,"DANCEWORKS, INC.",NYC Department of Cultural Affairs,75 BROAD STREET,9178
1000290070,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,DANCE,"CAPOEIRA FOUNDATION, INC.",NYC Department of Cultural Affairs,75 BROAD STREET,5439
1000370013,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,ODYSSEY MANOR IR 1,NYS Office of Alcoholism and Substance Abuse Services,95 PINE STREET,20632
1000370013,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,ODYSSEY HOUSE IR 6,NYS Office of Alcoholism and Substance Abuse Services,95 PINE STREET,20625
1000370013,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,ODYSSEY MANOR IR 2,NYS Office of Alcoholism and Substance Abuse Services,95 PINE STREET,20633
1000370013,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,"ODYSSEY HOUSE, INC. IR",NYS Office of Alcoholism and Substance Abuse Services,95 PINE STREET,20629
1000370013,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,GEORGE ROSENFELD CTR FOR RECOVERY IR,NYS Office of Alcoholism and Substance Abuse Services,95 PINE STREET,12428
1000420031,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,LOWER EAST SIDE SERVICE CENTER M-IR,NYS Office of Alcoholism and Substance Abuse Services,80 MAIDEN LANE,17177
1000420031,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,LOWER EAST SIDE SERVICE CENTER M-IR1,NYS Office of Alcoholism and Substance Abuse Services,80 MAIDEN LANE,17178
1000420031,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OPIOID OUTPATIENT TREATMENT,CLINIC III OTP,NYS Office of Alcoholism and Substance Abuse Services,80 MAIDEN LANE,8020
1000420031,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OPIOID OUTPATIENT TREATMENT,LOWER EAST SIDE SERVICE CTR OTP,NYS Office of Alcoholism and Substance Abuse Services,80 MAIDEN LANE,17181
1000420031,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,LEGAL SERVICES INITIATIVES,EVICTION INTERVENTION SERVICES LEGAL SERVICES INITIATIVES,NYC Human Resources Administration,80 MAIDEN LANE,10895
1000420031,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,LEGAL SERVICES INITIATIVES,CATHOLIC CHARITIES COMMUNITY SERVICES ARCHDIOCESE OF NEW YORK LEGAL SERVICES INITIATIVES,NYC Human Resources Administration,80 MAIDEN LANE,5683
1000420031,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,HUMAN FIRST  INC,NYS Office for People With Developmental Disabilities,80 MAIDEN LANE,14301
1000420031,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,ADAPT COMMUNITY NETWORK (DBA),NYS Office for People With Developmental Disabilities,80 MAIDEN LANE,1323
1000430002,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - NON-PUBLIC,PINE STREET SCHOOL,NYC Department of Education,25 PINE STREET,23506
1000430002,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - NON-PUBLIC,QUAD PREPARATORY SCHOOL (THE),NYC Department of Education,25 PINE ST-4TH FL,24532
1000490002,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,EDUCATION UNLIMITED LYCEUM CHARTER,NYC Department of Education,111 BROADWAY-STE 604,10217
1000490002,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,COMPASS CHARTER SCHOOL,NYC Department of Education,300 ADELPHI-4TH FL,8439
1000557501,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,ADVOCACY SERVICES,NYS Office of Mental Health,40 RECTOR STREET,1394
1000557501,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,RE-ENTRY PROJECT,NYS Office of Mental Health,40 RECTOR STREET,25060
1000557501,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,FAMILY SUPPORT,URBAN JUSTICE CENTER FAMILY SUPPORT,NYC Department of Youth and Community Development,40 RECTOR STREET,31161
1000557501,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,FAMILY SUPPORT,MANHATTAN LEGAL SERVICES FAMILY SUPPORT,NYC Department of Youth and Community Development,40 RECTOR STREET,17640
1000580001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,ASSESSMENT AND REFERRAL TEAM MENTAL HEALTH SERVICES FOR POPULATIONS WITH MULTIPLE SPECIAL NEEDS,NYC Department of Health and Mental Hygiene,150 GREENWICH STREET,2368
1000580001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,HRA-A+(A PROJECT TO LINK UP SERVICES),NYS Office of Mental Health,150 GREENWICH STREET,14237
1000670001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,OFFICE BLDG,NYC Department of Information Technology and Telecommunications,59 MAIDEN LANE,20649
1000670001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,OFFICE BLDG,NYC Department of Citywide Administrative Services,59 MAIDEN LANE,20648
1000670001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,OFFICE BLDG,NYC Department of Transportation,59 MAIDEN LANE,20650
1000670001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,OFFICE BLDG,NYC Department of Sanitation,66 JOHN STREET,20651
1000670001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,BOROUGH OFFICE,OFFICE BLDG,NYC Department of Finance,66 JOHN STREET,20652
1000670001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,BOROUGH OFFICE,OFFICE BLDG,NYC Police Department,66 JOHN STREET,20654
1000670001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,BOROUGH OFFICE,OFFICE BLDG,NYC Department of Probation,66 JOHN STREET,20653
1000670001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,FIELD OFFICE-PUBLIC,OFFICE BLDG,NYC Office of Administrative Trials and Hearings,66 JOHN STREET,20656
1000670001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,FIELD OFFICE-PUBLIC,OFFICE BLDG,NYC Administration for Childrens Services,66 JOHN STREET,20655
1000680007,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,OFFICES,NYC Department of Investigation,83 MAIDEN LANE,20756
1000680007,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,OFFICES,NYC Department of Buildings,83 MAIDEN LANE,20755
1000680007,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,NYSARC INC NYC CHAPTER CASE MANAGEMENT,NYC Department of Health and Mental Hygiene,83 MAIDEN LANE,20494
1000680007,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,NYS ARC NEW YORK CITY CHAPTER,NYS Office for People With Developmental Disabilities,83 MAIDEN LANE,20484
1000680029,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,PPS GOLD LLC,NYC Department of Consumer Affairs,13 GOLD STREET,23798
1000680029,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,"GOTHAM PARKING, LLC",NYC Department of Consumer Affairs,13 GOLD STREET,12708
1000730010,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,LETTIE G. HOWARD (SCHOONER),"The New York State Office of Parks, Recreation and Historic Preservation",,16677
1000730010,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,WAVERTREE,"The New York State Office of Parks, Recreation and Historic Preservation",,31921
1000747501,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,LEGAL SERVICES INITIATIVES,THE LEGAL AID SOCIETY LEGAL SERVICES INITIATIVES,NYC Human Resources Administration,199 WATER STREET,29789
1000747501,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,LEGAL SERVICES INITIATIVES,THE LEGAL AID SOCIETY CUSTOMIZED ASSISTANCE SERVICES (CAS),NYC Human Resources Administration,199 WATER STREET,29782
1000750035,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,PEARL PARKING LLC,NYC Department of Consumer Affairs,18 CLIFF STREET,23247
1000750035,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,PEARL PARKING LLC,NYC Department of Consumer Affairs,243 PEARL STREET,23248
1000770008,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,OFFICES,NYC Economic Development Corporation,110-26 WILLIAM STREET,20682
1000770008,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,OFFICES,NYC Administration for Childrens Services,110 WILLIAM STREET,20678
1000770008,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,OFFICES,NYC Independent Budget Office,110 WILLIAM STREET,20679
1000770008,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY EXECUTIVE OFFICE,OFFICES,NYC Department of Small Business Services,110-26 WILLIAM STREET,20681
1000780004,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,COALITION CENTER FOR REHABILITATION & RECOVERY,NYS Office of Mental Health,123 WILLIAM STREET,8057
1000780004,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,PATHWAY HOME,NYS Office of Mental Health,123 WILLIAM STREET,23204
1000780004,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,LEGAL SERVICES INITIATIVES,URBAN JUSTICE CENTER LEGAL SERVICES INITIATIVES,NYC Human Resources Administration,123 WILLIAM STREET,31166
1000780004,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,LEGAL SERVICES INITIATIVES,NORTHERN MANHATTAN IMPROVEMENT CORPORATION LEGAL SERVICES INITIATIVES,NYC Human Resources Administration,123 WILLIAM STREET,19994
1000880018,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,REGISTERED BUSINESS SCHOOLS,COPE INST,NYC Department of Education,225 BROADWAY,8695
1000880018,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,REGISTERED BUSINESS SCHOOLS,ON THE RECORD SCHOOL OF REPORTING,NYC Department of Education,225 BROADWAY,20835
1000890001,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,"CAREER CHOICES ACADEMY, INC.",NYC Department of Education,139 FULTON STREET,5494
1000890001,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,CHIC STUDIOS NYC,NYC Department of Education,139 FULTON STREET,6141
1000940025,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE,OFFICE BLDG,NYC Office of Collective Bargaining,,19978
1000940025,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE,OFFICE BLDG,NYC Department of Information Technology and Telecommunications,100 GOLD STREET,20640
1000960012,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,LONG-TERM AGREEMENT,LONG-TERM AGREEMENT,NYC Economic Development Corporation,,17071
1000960012,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,LONG-TERM AGREEMENT,IND 8TH AVE. ROW & VENT,NYC Economic Development Corporation,201 FRONT STREET,14683
1000980001,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",NYC Department of Consumer Affairs,228 WATER STREET,16477
1000980001,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",NYC Department of Consumer Affairs,300 PEARL STREET,16481
1000980001,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",NYC Department of Consumer Affairs,288 PEARL STREET,16480
1000980001,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,COMMERCIAL PARKING LOT,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",NYC Department of Consumer Affairs,10 PECK SLIP,16471
1001110100,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - DAY CARE CENTER,SMITH,NYC Housing Authority,10 CATHERINE SLIP,27075
1001110100,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - DAY CARE CENTER,SMITH,NYC Housing Authority,60 CATHERINE STREET,27077
